Year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Côte d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,3135.65,13958.42,9016.03,670.92,9058.14,1622.9,727.84,1435.24,1793.83,2349.82,8167.63,407.93,1419.95,13417.42,19473.69,4726.22,1138.98,1585.14,1235.93,2548.65,1250.48,3497.87,1375.02,1117.24,4602.85,3875.61,9930.8,12067.97,3049.7,9500.63,2687.3,668.96,5713.67,423.03,8932.93,2874.92,10040.02,3545.96,11968.65,2865.24,1961.77,1667.16,762.0,368.31,4889.56,2265.26,4841.08,2038.09,1334.7,1298.28,1044.96,6096.83,3877.47,11226.48,8286.01,6870.68,4876.12,3171.88,4979.1,1598.49,1175.91,2660.36,639.6,15710.74,1261.55,1182.58,5752.03,669.31,787.02,485.04,1136.03,3485.02,847.44,2360.58,3613.23,1391.58,4089.41,4386.2,11330.53,11566.09,704.7,13088.99,1201.71,2607.76,2613.9,1879.36,4105.26,1786.35,1354.64,958.4,2062.54,2648.44,657.5,11977.48,5994.32,2306.37,1961.02,1018.93,1085.75,9764.29,1666.82,4619.86,2397.0,1180.12,778.99,6744.03,17525.48,6845.0,6012.75,1669.9,1954.11
1961,3189.16,14051.52,9460.58,566.12,9504.56,1606.91,684.75,1397.6,1809.25,2503.64,8463.77,433.32,1504.27,13694.68,20509.53,4460.12,836.99,1609.78,1255.28,2105.63,1255.18,3602.25,1472.21,1300.61,4356.68,4336.04,10246.29,12762.82,2924.55,8193.92,2731.4,682.49,6336.72,428.15,9758.11,2847.35,10411.15,3794.49,12175.86,2755.81,2049.68,1523.06,791.02,374.74,5527.8,2306.55,4873.3,2053.56,1270.01,1404.87,1055.96,6410.82,4022.67,11537.98,8923.48,7400.21,5063.7,3567.9,5487.78,1532.86,1221.85,2575.84,599.42,15555.81,1571.94,1209.89,5733.72,654.99,753.82,483.24,964.44,3782.28,848.81,2511.74,3527.77,1455.63,3945.59,4562.33,11442.51,12132.15,693.14,13546.61,1222.41,2814.42,2719.73,1915.07,4337.23,1857.72,1481.18,912.06,2029.09,2928.18,675.61,12678.75,5737.2,2359.88,2001.04,1096.99,1119.48,11077.59,1692.73,4579.03,2463.02,1194.48,772.36,6750.12,17678.88,6810.1,6107.78,1673.1,2002.64
1962,3177.3,14549.74,9664.11,603.09,9958.61,1528.69,728.87,1452.35,1840.38,2610.37,8728.05,459.65,1472.88,14306.76,20920.72,5435.6,920.53,1631.17,1244.47,2494.02,1422.76,3650.1,1658.87,1070.03,4482.72,5143.64,10527.77,13314.15,3114.5,4604.83,2784.9,702.31,6901.91,430.71,9884.3,2797.41,10899.71,4200.42,12222.13,2659.03,2100.31,1490.12,771.61,385.31,5399.85,2310.63,5192.94,2086.29,1318.72,1345.05,1076.71,6547.73,4217.44,11758.29,9255.26,7767.68,5071.79,3480.37,5947.47,1601.77,1194.42,2672.48,687.05,15218.84,1755.63,1244.48,5768.24,641.09,1072.6,515.39,1046.23,4006.38,842.66,2615.31,3922.46,1587.19,3934.68,4996.85,11778.26,12260.69,701.2,13610.58,1268.61,2971.49,2876.11,1997.53,4642.87,1782.9,1612.42,1002.81,1995.22,3289.45,735.08,13110.27,5978.07,2993.97,2230.4,1088.16,1149.2,10868.13,1684.25,4742.65,2572.22,1274.69,769.0,6738.03,18460.93,7058.49,6228.34,1586.29,1924.74
1963,3026.15,15291.09,9997.54,613.35,10270.89,1578.65,702.55,1513.34,1914.92,2573.78,8581.63,473.86,1351.89,14784.92,21429.71,5521.52,990.45,1779.89,1290.08,2369.89,1441.62,3640.41,1785.96,862.24,4594.17,5140.35,10670.29,13368.25,2914.75,5169.87,2750.41,744.32,7496.68,438.98,9908.41,3097.5,11424.19,4999.81,12615.21,2777.3,2111.65,1553.52,827.47,469.57,6085.91,2387.39,5639.3,2060.64,1283.12,1197.92,1124.96,6806.93,4292.08,12945.21,9881.91,8068.69,5410.03,3556.95,6369.99,1590.06,1300.35,2536.52,774.79,15205.21,2004.2,1207.8,6101.39,610.93,226.23,513.87,1105.1,4010.08,836.6,2725.34,4081.04,1694.83,4074.0,5291.65,11711.14,12576.58,696.47,14113.87,1320.13,3119.04,2948.49,2057.89,4882.54,1812.91,1734.69,876.83,1944.74,3739.67,736.18,13716.2,6349.13,2529.06,2011.2,1126.33,1193.05,11550.28,1815.8,5079.89,2746.15,1338.87,763.25,6522.14,19009.45,7310.2,6579.43,1619.1,1909.04
1964,3136.7,15740.07,10414.31,606.67,10890.52,1627.93,722.64,1475.07,1986.97,2589.46,8501.9,497.71,1352.33,15530.41,22291.76,5587.28,1093.86,1986.1,1314.74,2112.73,1488.47,3826.65,1910.96,901.0,4683.95,4347.77,11377.09,14438.49,2915.66,5273.22,2875.13,818.69,7807.97,456.06,10173.3,3474.03,12050.42,5516.5,13305.74,2794.09,1956.06,1666.76,878.78,459.0,6503.62,2406.45,5999.85,2114.86,1250.66,1124.93,1182.28,6983.22,4324.2,14337.72,10398.6,8223.98,5415.81,3954.4,7022.02,1680.56,1373.06,2643.61,832.55,16288.78,2079.37,1207.19,6712.7,481.62,879.32,523.41,1664.16,4473.17,813.2,2836.16,4490.03,1640.13,4241.66,5754.01,12890.73,13265.65,758.0,14465.36,1383.36,3180.92,3049.93,2041.78,5055.99,1834.77,1829.8,766.79,1948.38,3702.69,764.26,14621.22,6677.31,3046.09,1974.77,1212.04,1253.35,12200.85,1828.69,5130.12,2969.17,1501.13,804.31,6692.86,19876.56,7860.63,6859.15,1795.84,1802.51
1965,3478.95,15642.04,10674.78,614.06,11173.45,1721.82,715.6,1430.49,2064.63,2569.9,8840.44,467.01,1331.34,16212.14,22671.64,5276.57,1157.83,1816.28,1365.93,2345.19,1489.81,3724.67,1898.04,918.33,5022.28,5578.16,11858.42,14974.33,2669.49,5577.64,2884.81,829.69,8166.95,474.12,10779.47,2875.55,12501.82,6087.63,13562.79,2668.59,1978.69,1819.76,924.94,472.99,7182.55,2443.35,6631.95,2202.61,1236.72,1318.07,1138.39,7059.32,4827.05,15405.35,10089.85,8386.04,5492.45,4226.94,7367.35,1716.32,1408.66,2554.46,808.4,16361.57,1998.21,1174.02,6860.8,514.04,1924.34,516.38,1928.69,4103.94,921.9,2960.55,4590.21,1664.38,4323.65,6283.99,13255.37,13906.87,732.45,15119.06,1477.24,3370.85,3162.71,2073.06,5409.77,1910.65,1999.47,794.18,1914.5,3946.71,785.48,14956.31,6144.2,2943.36,2027.61,1329.59,1356.74,11867.67,1861.77,5131.96,3208.79,1470.08,789.16,6608.75,20910.96,7868.85,7062.86,2108.53,1922.71
1966,3494.3,16411.57,11142.14,614.4,11411.81,1726.83,713.52,1415.76,2177.5,2685.38,9313.63,503.07,1292.68,16978.54,23031.26,5798.63,1211.88,1944.05,1396.23,2433.92,1454.25,3820.57,2038.37,1112.33,5140.28,5775.06,12094.73,15256.06,2642.74,4780.96,2884.28,830.16,8688.48,483.64,11066.17,2889.26,13064.29,5581.54,13776.56,2550.22,1972.11,1787.85,844.12,515.3,7684.36,2523.57,6910.0,2204.77,1216.67,1076.61,1110.33,7149.39,5101.65,16187.55,10866.63,8798.46,5574.53,4237.41,8055.12,1831.21,1567.55,2715.84,898.13,16528.28,1882.1,1195.91,7068.37,501.97,2205.27,506.77,1906.99,4108.43,1037.14,3083.37,4762.78,1610.73,3858.13,6157.28,13321.61,14290.45,773.86,15817.24,1585.26,3531.24,3304.44,2095.06,5555.7,1863.4,2094.56,836.41,1941.74,4351.7,807.6,15066.19,5877.42,2557.8,1964.42,1464.2,1543.1,12319.2,1890.91,5785.54,3390.74,1538.16,808.47,6796.75,22004.82,7635.6,7184.59,2141.1,1826.09
1967,3565.12,16846.7,11396.3,674.45,11783.22,1752.17,771.06,1339.26,2298.25,2786.53,10246.95,577.63,1277.5,17154.7,23536.23,6002.51,1137.51,1949.76,1253.92,2163.14,1453.15,3850.04,2272.35,1204.79,5214.59,6368.73,11914.54,15954.7,2655.84,5236.59,3002.14,840.46,9006.25,484.32,11330.93,3210.78,13610.6,6012.67,14025.32,2461.98,1886.83,1696.51,953.76,565.75,7975.67,2571.8,6972.53,2217.49,1166.7,1128.18,1168.67,7535.28,5552.22,15448.34,10691.81,9376.65,5481.22,4142.12,8814.11,1842.65,1616.72,2681.15,917.28,17113.24,1894.93,1226.03,7219.71,509.04,2414.01,555.86,2026.81,4348.55,1034.19,3104.61,4659.82,1610.57,3331.04,6401.1,13895.1,15095.1,739.68,14843.57,1573.75,3752.07,3373.49,2081.53,5978.09,1963.85,2314.07,866.22,1873.33,4939.55,833.55,15521.46,6117.81,2783.96,1946.14,1529.27,1537.48,12936.92,1853.61,5814.69,3678.51,1569.01,770.0,6526.15,22291.51,7636.07,7507.07,2459.14,1788.87
1968,3618.66,17776.25,11829.84,666.84,12237.89,1843.74,790.63,1354.22,1986.64,2956.39,10563.49,632.12,1390.93,17798.93,24155.78,6040.45,1058.64,2112.82,1284.48,2252.73,1557.26,3989.3,2134.03,1297.57,5377.32,6527.51,12543.77,16775.79,2514.95,5697.92,3048.29,907.05,9519.62,499.14,11887.93,3520.75,14089.39,6068.92,14550.73,2450.94,1850.62,1814.54,978.67,587.32,8484.6,2714.97,7293.16,2293.63,1174.48,1151.91,1192.42,8085.52,5944.91,14059.87,10894.05,9924.89,5448.83,3809.11,9821.02,1779.09,1769.59,2822.94,916.26,17989.2,1972.18,1292.91,7607.25,537.16,2734.91,565.96,2267.32,3471.74,1030.11,3200.43,4715.31,1600.17,3459.49,6326.07,14641.61,15511.63,729.63,14637.47,1611.74,3910.84,3268.11,2150.82,6775.13,1967.31,2421.95,904.44,1845.99,5432.83,842.81,15969.67,6993.54,2818.22,1915.25,1543.22,1600.74,13753.08,1964.44,6094.64,3945.6,1625.94,788.85,6562.25,23109.62,8232.4,7554.38,2552.8,1601.68
1969,3914.51,18707.42,12381.6,626.33,12965.71,1869.49,803.01,1383.87,2008.47,3014.82,12166.74,590.55,1376.91,18468.69,25210.64,6341.1,1157.34,2207.28,1338.93,2450.51,1639.47,4145.08,2041.81,1379.88,5523.88,7403.14,13434.65,17829.41,2637.33,6085.27,3032.54,962.29,10309.44,516.64,13089.67,3576.46,14969.12,6419.12,14769.82,2556.42,1792.45,1695.97,1058.62,606.5,9424.64,2809.87,8007.96,2222.03,1195.98,1166.54,1286.71,8450.14,6323.18,14627.95,12235.16,10468.46,5613.66,3708.53,10896.19,1837.2,1966.94,2951.72,906.69,20392.42,2145.01,1306.96,7660.55,538.97,2879.11,584.0,2178.73,3451.63,1077.45,3241.49,4915.02,1444.69,4430.27,6429.21,15744.66,15972.73,754.39,16015.74,1693.91,4148.04,3330.89,2204.23,6991.81,2016.61,2553.81,968.55,1630.58,6289.42,844.63,16612.62,6177.98,3246.22,2023.1,1680.8,1720.61,14892.81,2003.01,6244.22,4153.38,1656.86,837.86,6944.65,23614.4,8420.06,7883.9,2361.81,1949.25
