Year,Argentina - ARG,Australia - AUS,Austria - AUT,Belgium - BEL,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Côte d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Colombia - COL,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,France - FRA,United Kingdom - GBR,Ghana - GHA,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Malawi - MWI,Malaysia - MYS,Niger - NER,Nigeria - NGA,Netherlands - NLD,Norway - NOR,New Zealand - NZL,Pakistan - PAK,Peru - PER,Philippines - PHL,Portugal - PRT,Romania - ROU,Senegal - SEN,Singapore - SGP,Sweden - SWE,Syrian Arab Republic - SYR,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,7262.14,35837.43,18481.16,23770.86,1345.99,3555.9,4702.65,5825.12,26076.22,36180.27,38597.65,15694.69,2251.33,4269.23,3156.12,7144.39,12411.67,16413.92,16876.15,19464.54,26141.7,12784.84,54976.1,14343.43,2435.25,14096.41,1388.53,17865.25,23149.3,25819.81,11488.79,11256.11,7110.51,12885.59,4032.81,2377.29,15306.3,13486.53,27227.38,21255.22,16366.4,14112.87,16046.4,9784.48,4303.82,4046.22,9027.15,37201.7,5901.58,2957.0,25338.57,2482.63,2758.28,1267.63,2100.74,7453.19,3201.3,10074.72,27858.32,25317.87,30088.57,4239.15,7616.94,6194.68,11190.48,1879.45,11632.07,8923.32,24079.86,7732.67,2440.84,28086.95,6974.34,12523.44,7209.19,2748.09,2067.14,18110.53,45430.86,22173.39,14879.4,5313.47,5243.97
1961,7404.17,36759.16,19394.36,24889.94,1271.6,3491.98,4784.77,6480.87,26731.45,37580.27,39960.96,14944.75,2020.44,4316.35,3210.89,5882.58,12866.23,15642.41,18860.38,20044.53,27395.95,12060.63,48106.6,14705.78,2667.14,15505.39,1418.79,19288.99,24292.82,26184.04,10927.13,12786.95,7312.6,13077.93,4355.16,2413.0,16090.31,14079.73,27920.85,22923.97,17630.97,14654.01,18080.58,10719.04,4155.01,4197.41,8751.67,36737.8,8382.81,3054.12,25385.33,2431.09,2693.91,1265.99,2100.18,7930.51,3351.8,9763.82,28091.37,26406.48,31290.57,4331.55,8016.25,6006.56,11792.44,2061.13,11487.58,9881.18,25429.76,8006.55,2530.2,32280.18,7091.41,12622.74,7390.41,2724.91,2053.13,18201.4,46563.62,22288.51,15408.73,5334.76,5409.32
1962,7444.85,37885.01,20026.99,25834.18,1360.92,3659.1,4910.9,6808.89,27476.75,39028.7,40353.56,18389.6,2258.62,4358.44,3194.74,7060.84,13128.19,16183.97,21984.19,20716.76,28282.65,12770.27,26436.01,14954.83,2607.04,16920.21,1442.44,19739.6,25980.73,26321.26,10914.78,12686.02,7392.57,13782.94,4174.84,2495.21,16343.37,14854.51,28614.88,24008.2,18676.21,14751.62,17389.49,11599.39,4370.3,4087.47,9153.94,35976.6,8290.24,3149.13,25655.05,2381.63,3973.76,1354.03,2092.03,8278.3,3670.37,9786.52,28751.83,26748.84,31447.05,4518.22,8577.46,6201.3,12652.08,2245.8,11280.68,11093.08,26300.5,10309.86,2606.2,32205.48,7078.81,13453.75,7709.29,2950.27,2046.01,18240.32,48653.64,23321.93,16066.28,5056.3,5237.18
1963,7091.47,39443.77,20990.05,26642.67,1320.25,3858.2,5157.61,7098.93,27355.66,40213.78,41580.71,18787.21,2518.25,4756.42,3363.91,6662.61,13171.55,16655.45,22032.2,21153.56,28372.46,11901.24,30084.87,14932.34,2701.07,18411.91,1448.13,19824.74,27436.92,27313.81,11501.65,14561.44,7706.32,14932.17,3720.12,2642.12,17008.97,15211.79,31426.59,25858.0,19856.52,15755.22,17610.23,12456.52,4366.55,4419.19,8656.34,36451.01,9344.88,3076.05,27252.18,2298.24,485.81,1353.36,2080.77,8608.67,3941.34,9962.43,28605.49,27560.47,32764.9,4727.47,8900.03,6324.27,13433.67,2420.08,11029.34,12570.04,27538.33,8836.67,2717.78,34422.88,7692.04,14539.62,8216.69,3137.71,2037.2,17736.64,50125.35,24348.61,17325.09,5170.05,5224.28
1964,7357.2,39996.42,22048.23,28110.81,1367.5,3791.76,5404.82,7241.48,27390.04,41615.63,43333.05,19138.89,2809.0,5310.95,3453.02,5905.72,13914.19,17017.6,18617.2,22721.79,30109.52,11837.87,31306.47,15772.0,2986.1,19267.0,1500.68,20471.98,28969.32,28664.91,12532.91,15825.01,7836.5,15744.72,3494.49,2812.24,17449.33,15442.64,32826.56,27322.21,20469.03,16497.91,19178.64,13691.79,4645.48,4721.87,8978.18,38752.93,10438.38,3074.92,30093.29,1824.76,2812.38,1382.78,2022.12,9114.65,3822.98,10209.85,31365.86,29199.21,33293.02,4978.8,9327.87,6138.92,14018.63,2555.54,11147.88,12349.1,29154.72,10728.11,2872.28,36701.61,7811.65,14832.44,9054.85,3555.96,2152.53,18247.42,51963.82,26346.76,18259.23,5749.21,4947.82
1965,8159.37,39305.38,22896.13,28978.76,1366.89,3686.07,5661.51,7516.31,28695.09,42421.13,44723.61,18163.72,3047.48,4877.78,3613.45,6563.91,13594.14,18204.21,23771.58,23780.52,30874.7,10638.98,33855.24,15940.46,3094.74,20214.98,1569.6,21539.81,30233.93,29129.29,12220.19,17683.85,7934.78,17283.4,4121.47,2745.92,17744.25,17361.68,34306.74,26457.48,21554.66,16907.52,20269.65,14311.34,4774.54,4716.12,8709.13,38982.03,10128.15,3001.82,30812.45,1948.99,6382.21,1368.04,2292.62,9497.74,3890.33,10191.67,32427.65,30581.29,34361.47,5343.3,9763.73,6582.82,15052.86,2792.95,10967.22,13109.31,29892.76,10490.23,3127.7,35833.51,8019.37,15038.46,10026.17,3511.41,2115.07,18066.44,54071.76,26555.32,19048.58,6762.15,5320.24
1966,8238.52,40565.96,24266.37,29672.18,1375.12,3679.63,6032.26,7686.81,30382.03,43766.24,45991.49,20027.85,3068.76,5255.64,3742.75,6826.43,13871.86,18602.4,24611.29,24484.82,31141.12,10554.64,29710.12,16041.58,3275.57,21547.91,1586.38,22147.14,31635.05,29575.83,12033.53,19229.92,8171.16,17703.2,3365.09,2708.35,18081.37,18479.46,35782.6,28232.36,23140.18,17098.43,20052.91,15469.97,5129.23,5237.45,9230.37,39396.25,10498.6,3040.75,31747.0,1914.08,7205.35,1346.78,2582.58,9848.02,3776.58,9168.71,32773.97,31552.96,35292.53,5761.88,10322.27,6447.37,15501.4,2927.93,11151.32,14413.12,30355.72,9233.94,3575.43,37285.4,8235.12,17143.21,10634.64,3692.96,2172.54,18601.58,55858.97,26002.38,19725.2,6853.72,5090.85
1967,8414.09,41123.77,25420.94,30934.5,1500.18,3512.02,6431.45,8125.32,33683.32,44204.98,47274.71,20832.69,3042.28,5315.94,3376.04,6101.12,13911.09,18815.88,27126.55,24746.74,32832.37,10496.32,33540.4,16886.8,3475.3,22458.8,1573.98,23213.04,33122.93,30711.62,10792.47,20443.09,8287.43,17621.01,3530.14,2889.21,19271.02,20230.03,34659.12,27432.37,24515.8,17122.06,20849.81,16767.55,5199.85,5335.77,9118.34,41390.0,10178.86,3117.88,32440.18,1946.39,7822.16,1484.96,2636.34,9870.47,3788.13,8422.65,34685.52,33371.32,32681.61,5748.9,10640.43,6281.79,16776.48,3242.02,10785.03,16257.8,31861.29,10170.0,3589.21,38990.34,8156.88,17585.8,11241.63,3792.1,2076.63,17876.69,55914.8,26225.74,20972.32,7881.91,5020.02
1968,8556.18,43211.17,26877.18,32275.0,1553.77,3586.21,5614.65,8745.42,34965.08,46537.56,48743.03,20990.36,2830.68,5822.93,3471.64,6421.17,14320.55,19320.44,27798.95,26117.16,34445.44,9893.06,37375.86,17292.05,3796.93,23852.4,1607.0,24794.86,34633.63,32185.87,10722.57,22074.23,8721.99,17969.34,3607.29,2992.27,20705.52,21802.11,31731.89,27665.62,26124.35,17187.34,19553.67,18593.69,5058.26,5684.82,9700.85,43716.52,9351.7,3306.34,34215.43,2071.27,8803.56,1518.56,2650.96,10074.74,3777.65,8887.73,36613.55,34566.12,32576.85,5916.72,10417.68,6716.46,19146.1,3452.08,10637.2,17689.71,32621.18,10434.21,3761.23,41076.58,8729.25,18764.38,11937.3,3897.18,2131.85,17993.4,57400.33,28498.99,21382.11,8278.84,4535.59
1969,9287.27,45251.79,28284.5,33705.97,1596.12,3698.98,5734.39,8681.88,40171.52,47489.69,50678.68,22108.2,2974.05,6144.74,3663.56,6987.54,14770.6,19720.78,31422.7,27824.26,36024.7,10309.32,40848.54,17335.49,3917.19,25847.95,1672.5,26888.01,36564.3,32807.11,11069.44,24698.3,8996.12,19398.18,3663.79,3267.52,21673.07,23308.08,33071.93,30825.14,27930.21,17798.63,19158.51,20719.12,5266.49,6309.06,10143.07,49153.89,11121.05,3360.16,34489.93,2086.95,9274.35,1574.89,2778.46,10161.62,3415.02,11124.7,37211.49,35621.4,35889.57,6249.09,10721.78,7239.15,19840.41,3674.5,9400.96,20234.95,33544.17,12159.36,4067.03,43915.61,8967.29,19632.16,12328.51,3950.91,2272.72,19039.69,57848.28,29398.67,22725.42,7840.51,5570.51
