,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,United States,VA,VT,WA,WI,WV,WY
1840,915.8245755860953,1175.0202101859336,NaN,NaN,NaN,1572.4535165723523,NaN,1175.0202101859336,1192.299919159256,984.9434114793854,656.628940986257,NaN,812.14632174616,708.4680679062246,NaN,898.5448666127727,1952.6071139854484,1848.928860145513,1088.6216653193208,984.9434114793854,760.3071948261922,NaN,915.8245755860953,1451.4955537590943,NaN,881.2651576394502,NaN,NaN,1105.9013742926434,1434.2158447857719,NaN,NaN,1382.3767178658043,829.4260307194825,NaN,NaN,1295.9781729991914,2039.005658852061,967.6637025060629,NaN,812.14632174616,NaN,NaN,1123.181083265966,933.1042845594178,1123.181083265966,NaN,1382.3767178658043,933.1042845594178,NaN
1880,1075.1818916734032,1190.3799514955535,4550.323362974938,3724.737267582861,4243.128536782538,2803.152789005658,NaN,2073.565076798706,921.5844785772027,1075.1818916734032,2015.966046887631,4415.925626515763,2169.5634599838313,1785.5699272433303,1401.576394502829,1113.5812449474533,1324.777687954729,2745.553759094583,1651.1721907841547,1689.5715440582048,2035.165723524656,1862.3686337914305,1574.3734842360545,1228.7793047696036,4607.922392886014,883.1851253031525,2015.966046887631,1785.5699272433303,2265.561843168957,2380.759902991107,1132.7809215844784,6105.497170573968,2342.360549717057,1881.5683104284556,NaN,2745.553759094583,2188.7631366208566,2879.9514955537584,979.1835084882779,2015.966046887631,998.3831851253029,1151.9805982215034,1555.1738075990295,1823.9692805173804,979.1835084882779,1996.7663702506059,2687.954729183508,1804.7696038803554,1036.782538399353,2956.7502021018586
1900,1285.610347615198,1306.345998383185,4147.130153597413,3753.152789005658,3628.738884397736,3234.7615198059816,NaN,2591.956345998383,1389.2886014551332,1161.1964430072755,2861.5198059822146,3587.267582861762,2778.5772029102664,2301.657235246564,2529.7493936944215,1430.7599029911073,1513.7025060630556,3234.7615198059816,2073.5650767987063,2322.392886014551,2218.714632174616,2467.5424413904607,2052.8294260307193,1285.610347615198,5619.3613581244945,1119.7251414713014,1441.1277283751008,2778.5772029102664,2861.5198059822146,2944.462409054163,2135.7720291026676,5826.717865804365,2944.462409054163,2571.220695230396,1700.323362974939,3110.3476151980594,2944.462409054163,3338.4397736459173,1181.9320937752625,1441.1277283751008,1264.8746968472108,1741.7946645109132,2363.864187550525,2343.128536782538,1368.5529506871462,2446.8067906224733,3753.152789005658,2218.714632174616,1638.116410670978,4914.3492320129335
1929,3223.52,3051.74,6042.85,10034.36,6366.21,10398.14,13369.04,10418.35,5244.54,3466.05,5759.9,5042.44,9599.84,6103.48,5315.28,3920.78,4132.98,9205.74,7831.45,6052.95,8003.23,6002.43,6255.05,2799.11,5982.22,3304.37,3809.62,5901.37,6952.3,9296.69,4092.56,8831.85,11681.49,7801.13,4537.19,6719.89,7841.55,8902.59,2698.06,4193.61,3769.2,4779.71,5537.59,7063.46,4395.72,6366.21,7477.77,6770.41,4628.13,6790.62
1930,2758.26,2349.24,5432.62,9323.54,6019.93,9711.59,13780.81,8998.43,4897.75,3177.77,5243.84,5117.99,8495.02,5369.69,4824.33,3377.03,3702.15,8830.62,7561.62,6009.44,6890.4,5736.76,5873.1,2066.07,5254.33,3009.96,3230.2,5348.72,6785.53,8914.53,3481.91,8746.72,10917.67,6963.82,3828.0,6345.04,7519.66,8327.22,2506.55,3744.1,3366.54,4268.48,5180.91,6512.85,4058.73,5998.95,6890.4,6124.8,4268.48,6103.83
1931,2571.6,2419.64,5026.3,8801.87,5517.24,9421.39,14646.41,9059.03,4640.56,2969.02,4628.87,4278.2,7866.74,5084.75,4605.49,3354.76,3682.06,8953.83,7551.14,5751.02,6312.1,5341.91,5715.96,1975.45,4523.67,2852.13,2279.37,4780.83,6545.88,8661.6,3354.76,7773.23,10379.89,6592.64,3436.59,5879.6,7071.89,8392.75,2372.88,2828.76,3191.12,4032.73,4348.33,6171.83,4336.65,5505.55,6241.96,5482.17,4137.93,5575.69
1932,2105.12,2012.45,4249.97,7732.03,4713.36,8301.34,14656.43,7824.71,4197.01,2608.24,3879.25,3548.26,6474.25,4077.85,3535.02,2753.87,3151.07,8221.9,6911.16,5031.11,5216.47,4779.56,4832.52,1615.25,4422.08,2422.88,2356.68,3998.41,5679.86,7837.95,2753.87,7374.55,9082.48,5335.63,2820.07,4991.39,6024.1,7718.79,2065.4,2502.32,2568.52,3468.82,4024.89,5322.39,3786.57,4792.8,5322.39,4792.8,3389.38,4964.91
1933,2232.81,2083.05,4206.94,7474.47,4805.99,8032.68,12865.9,7705.92,3934.65,2750.17,3430.91,3104.15,5990.47,4002.72,3417.29,2777.4,3076.92,7719.54,6453.37,5078.28,4737.92,4220.56,4547.31,1715.45,4070.8,2763.78,2055.82,3716.81,5718.18,7188.56,2872.7,6793.74,8631.72,5268.89,2995.23,4860.45,5759.02,7733.15,2341.73,1851.6,2736.56,3458.13,4043.57,5105.51,3893.81,4588.16,5119.13,4533.7,3512.59,5064.67
1934,2671.31,2348.69,4671.57,7807.46,4787.71,8530.13,12427.41,8349.46,4490.9,3110.08,3497.23,5020.0,6555.68,4607.05,3716.61,2993.93,3393.99,7962.32,6852.5,5394.24,5858.82,4632.86,4749.0,2155.12,4710.29,3187.51,2374.5,3406.89,6181.44,7446.12,3174.6,7226.74,8878.56,5897.54,3226.22,5626.53,6284.68,7846.17,2671.31,2439.02,3122.98,3755.32,4052.14,5510.39,4168.28,4916.76,5703.96,4903.86,4039.23,5342.62
1935,2731.41,2579.67,5260.5,8409.21,5627.21,9041.48,13037.43,8915.02,4779.97,3376.33,5285.79,4982.3,7283.76,5298.43,4552.35,3338.39,3654.53,8257.46,7056.15,5500.76,6727.36,5677.79,5311.08,2200.3,6006.58,3376.33,3426.91,5108.75,6360.65,7979.26,3705.11,8434.5,9256.45,6562.97,3743.05,5804.25,6626.2,8282.75,2883.16,3856.85,3325.75,4109.76,4944.36,6031.87,4476.48,5235.2,6208.9,5829.54,4274.15,6297.42
1936,3112.11,3037.12,5774.28,9711.29,6761.65,10186.23,14285.71,10886.14,5661.79,3749.53,4886.89,5824.27,8173.98,6011.75,4836.9,3662.04,4099.49,9061.37,7836.52,6361.7,7761.53,5911.76,5836.77,2774.65,5974.25,3674.54,2974.63,4924.38,6761.65,8936.38,4286.96,10561.18,10236.22,7461.57,4024.5,6824.15,7599.05,9011.37,3199.6,3087.11,3774.53,4649.42,5786.78,6736.66,4924.38,5861.77,7124.11,6474.19,4886.89,6899.14
1937,3186.77,3031.03,6050.08,9608.24,6397.51,10410.93,14496.23,11441.24,5882.35,3737.87,6145.92,5043.73,8793.58,6541.27,5115.61,4061.34,4217.08,8889.42,8074.76,6145.92,8230.5,6445.43,6074.04,2635.68,6157.9,3845.69,3881.63,4947.89,6828.8,9021.21,4336.89,9284.77,10159.34,7799.21,4480.65,6661.08,7703.37,8877.44,3246.68,3845.69,3977.48,5007.79,5355.22,6936.62,5103.63,5810.47,7200.19,6601.17,5019.77,7260.09
1938,2984.34,2811.69,5907.02,9618.94,6264.64,9606.61,14070.79,9865.58,5746.7,3551.61,5549.39,5191.76,8040.45,5820.69,4723.15,3650.27,4279.2,8422.74,7929.46,5870.02,7078.55,6079.66,5870.02,2417.07,6350.97,3588.61,3477.62,4957.45,6622.27,8681.71,4168.21,9680.6,9877.91,6979.9,4254.53,6548.28,7029.23,8422.74,3058.33,3909.24,3674.93,4982.12,5500.06,6548.28,4858.8,5635.71,7189.54,6264.64,4575.16,6905.91
